"StartDate","CONSENT","prolif_check","vax_att_1","vax_att_2","vax_att_3","vax_att_4","vax_att_5","att_check_1","vax_yet","vax_futureY","vax_futureN","Q1","Q2","Q3","Q4","post_vax_att_1","post_vax_att_2","post_vax_att_3","post_vax_att_4","post_vax_att_5","att_check_2","vax_future_2","experience_1","experience_2","experience_3","experience_4","information_1","information_2","information_3","information_4","ITT_1_A","ITT_2_A","ITT_3_A","ITT_1_F","ITT_2_F","ITT_3_F","discuss_1","read_1","age","gender","gender_4_TEXT","edu","take_part_again","anything_else","friend","condition","clicked_t","clicked_f","ID","vax_yet_1","vax_future","vax_future_1","vax_change","vax_positive","choice_cond"
"14/05/2021","YES","Against (I feel negatively about the vaccines)","Neither Agree nor Disagree","Somewhat Agree","Disagree","Disagree","Strongly Disagree","Somewhat disagree","No","","No","","","","","Somewhat Agree","Somewhat Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat Disagree","Somewhat agree",0,"Agree","Somewhat Agree","Disagree","Disagree","Agree","Somewhat Agree","Somewhat Disagree","Neither Agree nor Disagree","I'm not having the vaccine because I don't think I need to.","And I don't trust the vaccine ","Could give you bad side affects years later","I'm having the vaccine to help prevent me from serious effects from covid 19","And to help protect friends and family","I am happy to take the vaccine as it's been tested properly","Rarely","Most months","48","Male","-99","A levels","Very likely","-99","Yes","control","0","0",1,0,"No ",-1,1,1,0
"14/05/2021","YES","Against (I feel negatively about the vaccines)","Neither Agree nor Disagree","Agree","Strongly Disagree","Somewhat Disagree","Neither Agree nor Disagree","Somewhat disagree","No","","No","","","","","Somewhat Disagree","Agree","Strongly Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat agree",-1,"Somewhat Agree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Neither Agree nor Disagree","Strongly Disagree","Strongly Disagree","they dont know the long term side effects","dont belive there has been enough testing","they think covid is not real","It will stop them getting covid or reduce the severity","Helps stop the spread","Provides herd immunity for vunerable","Most weeks","Most days","45","Female","-99","Vocational Training / Apprenticeship","Very likely","-99","Yes","control","0","0",2,0,"No ",-1,0,0,0
"14/05/2021","YES","Against (I feel negatively about the vaccines)","Disagree","Somewhat Disagree","Strongly Agree","Somewhat Disagree","Somewhat Agree","Somewhat disagree","No","","Yes","Are the vaccines safe?","Can we trust vaccines from all countries?","Is the pharmaceutical industry getting richer because of these vaccines?","Have vaccines been successful in the past?","Disagree","Somewhat Agree","Strongly Agree","Somewhat Disagree","Somewhat Agree","Somewhat agree",1,"Agree","Somewhat Agree","Somewhat Disagree","Strongly Disagree","Somewhat Agree","Strongly Agree","Disagree","Somewhat Agree","vaccines are made to profit the government","it can't guarantee immunity from covid-19 ","may cause long term side effects","scientists have tested it","other important people have taken it","it will save you from getting covid-19","Most months","Most months","22","Female","-99","Undergraduate degree (BSc, BA)","Very likely","-99","Yes","choice","0","0",3,0,"Yes ",1,0,0,1
"14/05/2021","YES","Against (I feel negatively about the vaccines)","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat disagree","No","","No","","","","","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat disagree",-1,"Somewhat Agree","Neither Agree nor Disagree","Disagree","Somewhat Disagree","Somewhat Agree","Disagree","Somewhat Disagree","Neither Agree nor Disagree","It has not been approved by the FDA therefore we donâ€™t have certainty on how safe it is","Itâ€™s still in stage 2 trials, so the trials haven't been completed so something me go wrong in later stages.","We donâ€™t need a vaccine for a virus with a 99.97% survival rate.","You need to protect others ","Itâ€™s safe because the government says so","We need to get back to normal ","Most months","Most days","46","Female","-99","Undergraduate degree (BSc, BA)","Very likely","-99","Yes","control","0","0",4,0,"No ",-1,0,0,0
"14/05/2021","YES","Against (I feel negatively about the vaccines)","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat disagree","No","","No","Do I really need a vaccine?","Are vaccines dangerous in general?","Are there serious side effects to the vaccine?","Is herd immunity possible without vaccination?","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat agree",-1,"Somewhat Agree","Somewhat Disagree","Strongly Disagree","Agree","Somewhat Agree","Strongly Disagree","Disagree","Neither Agree nor Disagree","Because there is a nefarious agenda to control the population using these injections.","Because the risks outweigh the benefits.","Because there have been no long term clinical trials, therefore no knowing of what damage it could cause.","Because they think they are doing something for the greater good.","Because they think they will be able to go on holiday.","Because they believe that things will return to normal if they take the vaccine.","Rarely","Most weeks","33","Female","-99","A levels","Somewhat likely","-99","Yes","choice","0","0",5,0,"No ",-1,0,0,1
"14/05/2021","YES","Against (I feel negatively about the vaccines)","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat disagree","No","","No","Do I really need a vaccine?","Do we know enough about Covid-19 to develop a vaccine?","Are there serious side effects to the vaccine?","Wouldn't it be better to invest in treatments for Covid-19 rather than vaccines?","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat agree",-1,"Agree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","They donâ€™t want to have it ","Itâ€™s not safe for everyone ","Not enough research on the vaccine","They want it to go on holiday ","So they can keep people around them safe","So they donâ€™t have to wear a mask anymore","Most days","Most weeks","28","Female","-99","GCSEs","Very likely","-99","Yes","choice","0","0",6,0,"No ",-1,0,0,1
"14/05/2021","YES","Against (I feel negatively about the vaccines)","Disagree","Neither Agree nor Disagree","Strongly Disagree","Disagree","Neither Agree nor Disagree","Somewhat disagree","No","","No","","","","","Neither Agree nor Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Disagree","Neither Agree nor Disagree","Somewhat agree",-1,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat Agree","Neither Agree nor Disagree","Agree","Strongly Disagree","Somewhat Disagree","The clinical trials have not gone on for 2 years yet. The timeline for this is September 2022.","I do not know the long term effects to my body. ","I do not know the initial side effects following the injection. Each person reacts differently. ","We can stop the Covid-19 pandemic. ","I will stop being anxious about being sociable. ","People will look at me negatively if I donâ€™t have the vaccination. ","Never","Most days","50","Female","-99","Undergraduate degree (BSc, BA)","Very likely","-99","Yes","control","0","0",7,0,"No ",-1,0,0,0
"14/05/2021","YES","Against (I feel negatively about the vaccines)","Somewhat Disagree","Agree","Agree","Strongly Disagree","Disagree","Somewhat disagree","No","","Undecided","Are the vaccines safe?","Is Covid-19 dangerous for someone young like me?","Are there serious side effects to the vaccine?","Is herd immunity possible without vaccination?","Disagree","Agree","Somewhat Agree","Strongly Disagree","Somewhat Disagree","Somewhat agree",0,"Somewhat Agree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Neither Agree nor Disagree","They are worried that the current studies have only assessed side effects for up to 2 months - what are the long term side effects of this? Doctors have already stated they do not know, as there is not enough evidence. E.g. how is fertility effected?","They are young. Many argue that the young are selfish for not vaccinating, but I disagree, it is a selfless act to be vaccinated against something which is extremely unlikely to cause you any issues. The healthy youth could have quite easily continued with normal life throughout lockdown, in order to maintain the economy. Of course there are youths that die/are hospitalised with COVID-19, but many have underlying health issues such as obesity. ","The UK has established a non-liability agreement with some of the pharmaceutical companies providing the vaccine. This would not be necessary if the company & the government were confident that no long-term complications will occur - I ask, what happens to those who lose family members to rare side effects of these vaccines? They lack compensation for something which the government persuaded them would keep their family member safe - it is unfair and questionably unethical.","The government say we have to have it to go back to daily life. ","Underlying health complication. ","They want to go on holiday.","Rarely","Most months","21","Female","-99","Undergraduate degree (BSc, BA)","Very likely","Interesting! :-)","Yes","choice","0","0",8,0,"Undecided ",0,0,0,1
"14/05/2021","YES","Against (I feel negatively about the vaccines)","Disagree","Somewhat Agree","Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat disagree","No","","No","Have the vaccines been rushed?","Is Covid-19 dangerous for someone young like me?","Is the pharmaceutical industry getting richer because of these vaccines?","Wouldn't it be better to invest in treatments for Covid-19 rather than vaccines?","Disagree","Somewhat Agree","Disagree","Neither Agree nor Disagree","Disagree","Somewhat agree",-1,"Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Disagree","Disagree","Agree","not safe, there is not enough research and time behind to prove otherwise ","rushed, and there is not enough data to prove that is safe long term ","made for profit, the information provided to the general public is misleading ","it will save peoples lives ","it will protect the vulnerable people","we can live our lives like we are used to ","Rarely","Most months","40","Male","-99","Vocational Training / Apprenticeship","Very likely","no, thanks","Yes","choice","0","0",9,0,"No ",-1,0,0,1
"14/05/2021","YES","Against (I feel negatively about the vaccines)","Strongly Disagree","Neither Agree nor Disagree","Strongly Disagree","Strongly Disagree","Neither Agree nor Disagree","Somewhat disagree","No","","No","","","","","Strongly Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Disagree","Neither Agree nor Disagree","Somewhat agree",0,"Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","They don't trust the companies making them to not put profit before safety","They think that coronavirus is not serious, similar to the flu, and therefore it's not needed as our bodies have their own immune system capable of dealing with it","They think they have micro chips in them to track you all the time","They want to be able to get back to normal and get on with their lives","They don't want to die from coronavirus","They have been told it's a good thing","Most days","A few times a year","38","Female","-99","GCSEs","Very likely","-99","Yes","control","1","0",10,0,"No ",-1,1,1,0
"17/05/2021","YES","Against (I feel negatively about the vaccines)","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat disagree","No","","No","","","","","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat agree",-1,"Somewhat Disagree","Disagree","Somewhat Agree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Disagree","Disagree","Somewhat Agree","They are too young so not needed","The virus is not as deadly as the media portray","The advice from government is false","They are scared of the virus","They are affected more as they are old","They are just doing what their government tells them","Rarely","Most weeks","41","Male","-99","GCSEs,Vocational Training / Apprenticeship,A levels","Very likely","-99","Yes","control","0","0",11,0,"No ",-1,0,0,0
"17/05/2021","YES","Against (I feel negatively about the vaccines)","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat disagree","No","","No","Are the vaccines safe?","Is Covid-19 dangerous for someone young like me?","Are there serious side effects to the vaccine?","Wouldn't it be better to invest in treatments for Covid-19 rather than vaccines?","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat agree",-1,"Agree","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Somewhat Agree","Disagree","Strongly Agree","Not enough time to show long term side effects.","Im not at risk of dying so why do i need it?","Do not trust the government in the slightest.","Think about others and not just yourself.","Your protecting others as well as yourself","We will never get back to normal if you dont.","Most days","Never","29","Female","-99","A levels","Very likely","-99","Yes","choice","0","0",12,0,"No ",-1,0,0,1
"17/05/2021","YES","Against (I feel negatively about the vaccines)","Disagree","Neither Agree nor Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat disagree","No","","No","","","","","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat agree",-1,"Agree","Agree","Disagree","Neither Agree nor Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Disagree","Neither Agree nor Disagree","There hasn't been enough time spent on trials.","People in power are pushing the vaccine for nefarious reasons.","Vaccines in themselves are dangerous.","They want to get back to normal and the vaccine is the way to do that.","So they can see loved ones again.","They trust the people pushing the vaccine.","Most weeks","Most months","29","Male","-99","GCSEs","Very likely","-99","No","control","0","0",13,0,"No ",-1,0,0,0
"17/05/2021","YES","Against (I feel negatively about the vaccines)","Disagree","Disagree","Strongly Disagree","Disagree","Disagree","Somewhat disagree","No","","No","Do I really need a vaccine?","Do we know enough about Covid-19 to develop a vaccine?","Are there serious side effects to the vaccine?","Is herd immunity possible without vaccination?","Disagree","Disagree","Strongly Disagree","Disagree","Disagree","Somewhat agree",-1,"Somewhat Agree","Neither Agree nor Disagree","Somewhat Disagree","Somewhat Disagree","Agree","Somewhat Disagree","Disagree","Somewhat Disagree","Unsafe, could cause illness ","Not tested long enough","Is it even really necessary","Keep them safe from the virus","Other people are doing it","Forced to take the jab","Most weeks","Most weeks","36","Male","-99","GCSEs","Very likely","-99","Yes","choice","0","0",14,0,"No ",-1,0,0,1
"17/05/2021","YES","Against (I feel negatively about the vaccines)","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat disagree","No","","No","Are the vaccines safe?","Do we know enough about Covid-19 to develop a vaccine?","Are there serious side effects to the vaccine?","Is herd immunity possible without vaccination?","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat agree",-1,"Somewhat Agree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Agree","Strongly Agree","Strongly Disagree","Disagree","They are scared of adverse reactions","They have allergies to food and drugs and may have bad reactions to the vaccine","the vaccine has not been monitored long enough","They want to protect themselves and others","they want to travel and visit venues","even if they had adverse reactions they think it far outweighs the symptoms of covid","Most weeks","Most days","57","Female","-99","GCSEs","Very likely","-99","Yes","choice","0","0",15,0,"No ",-1,0,0,1
"17/05/2021","YES","Against (I feel negatively about the vaccines)","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat disagree","No","","No","","","","","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat agree",-1,"Somewhat Agree","Somewhat Disagree","Disagree","Neither Agree nor Disagree","Somewhat Agree","Neither Agree nor Disagree","Disagree","Disagree","These vaccines are still in a clinical trial until 2023, with no liability if anything should happen to me","There is not enough clear information as to the ingredients in the vaccine or possible side-effects, risks associated","Mainstream media are not reporting any cases of adverse effects and things seem to be one-sided","I want things to get back to normal ","I want to go on holiday ","The news and government say it's safe and effective ","Most days","Most days","31","Female","-99","Undergraduate degree (BSc, BA)","Very likely","-99","Yes","control","0","0",16,0,"No ",-1,0,0,0
"17/05/2021","YES","Against (I feel negatively about the vaccines)","Neither Agree nor Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Neither Agree nor Disagree","Somewhat disagree","Yes","Undecided","","Are the vaccines safe?","Do we know enough about Covid-19 to develop a vaccine?","Will the vaccine be effective long term, or can immunity go away?","How is the Covid-19 vaccine different to other vaccines?","Somewhat Agree","Somewhat Agree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Agree","Somewhat agree",1,"Strongly Agree","Agree","Strongly Disagree","Disagree","Strongly Agree","Agree","Strongly Disagree","Strongly Disagree","Not enough research has been done on them","They were rushed which means they are not safe","Bad side effects that could be long term","Provides protection against covid","Could protect others from catching covid","Prevents the spread of covid19","Most weeks","Most days","43","Female","-99","GCSEs","Very likely","-99","Yes","choice","0","0",17,1," Undecided",0,1,1,1
"17/05/2021","YES","Against (I feel negatively about the vaccines)","Strongly Disagree","Neither Agree nor Disagree","Strongly Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat disagree","No","","Undecided","Do I really need a vaccine?","Is Covid-19 dangerous for someone young like me?","Are there serious side effects to the vaccine?","How is the Covid-19 vaccine different to other vaccines?","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat agree",0,"Agree","Somewhat Agree","Somewhat Disagree","Disagree","Agree","Neither Agree nor Disagree","Somewhat Disagree","Neither Agree nor Disagree","Do not have it because itâ€™s just another vaccine that is they want to trap you in.","The 1st dose side effects is not good. You will feel sick and not yourself ","Itâ€™s a chip they planting in you ","You can go on holiday ","You are protected in case your around someone who has COVID ","Youâ€™ll help the country ","Most months","Most months","32","Female","-99","A levels","Very likely","-99","Yes","choice","0","0",18,0,"Undecided ",0,0,0,1
