"prolif_check","discuss_1","read_1","age","gender","gender_4_TEXT","edu","anything_else","condition","clicked_t","clicked_f"
"Against (I feel negatively about the vaccines)","Rarely","Most months","21","Female","-99","Undergraduate degree (BSc, BA)","Interesting! :-)","choice","0","0"
"Against (I feel negatively about the vaccines)","Rarely","Most months","40","Male","-99","Vocational Training / Apprenticeship","no, thanks","choice","0","0"
"Against (I feel negatively about the vaccines)","Most days","Most days","37","Female","-99","Undergraduate degree (BSc, BA)","It was very interesting and informative. It was great to see some facts the media not spreading.","control","0","1"
"Against (I feel negatively about the vaccines)","Most weeks","Most weeks","24","Male","-99","A levels","good survey. interesting and important topic","choice","0","0"
"Against (I feel negatively about the vaccines)","Most months","Most days","61","Female","-99","Vocational Training / Apprenticeship","When I answered for people wanting the vaccine, I actually put things that people have said to me.  I follow the information on gov.uk, statistics and studies and I form my own opinion.  I do not want the vaccine as I have undiagnosed issues and don't know whether it would be safe to have.  ","choice","0","0"
"Against (I feel negatively about the vaccines)","Once or twice a year","Rarely","30","Female","-99","Undergraduate degree (BSc, BA)","I am not an anti Vader by any means, I‰Ûªm just apprehensive about this one as it is so fresh to the market so long term after effects haven‰Ûªt been taken into account. I have had Covid although I took all PPE precautions possible and took them seriously too. The new strains which are developing overseas which the current vaccines do not protect against are giving me little faith in the vaccines that are offered also.","control","0","0"
"Against (I feel negatively about the vaccines)","Most weeks","Most months","32","Male","-99","A levels","People perspective on this vaccine should depend entirely on their age and vulnerability. A healthy, active 32 year old is at incredibly low risk from COVID-19. I would agree much less of a risk than a drug still in trials being sold by corporates driven by profit (it is in there benefit for me to take the vaccine even if i do not need it)","control","0","0"
"Against (I feel negatively about the vaccines)","Most weeks","Most days","62","Female","-99","A levels","""Scientific consensus"" is not to be trusted when so many are reliant on funding from pharmaceutical companies. They have much to lose if they do not follow the narrative.","choice","0","0"
"Against (I feel negatively about the vaccines)","Most days","Most days","58","Female","-99","Vocational Training / Apprenticeship","why are you calling it a vaccine, its a form of gene therapy id say, in years to come or even months, how do you think vaccinated peoples health will be, auto immune disease will be through the roof. You have no data on these human trials","choice","0","0"
"Against (I feel negatively about the vaccines)","Most weeks","Most weeks","59","Male","-99","Postgraduate degree (MSc, MA, MPhil)","From an individual perspective, I have no issues surrounding vaccinations. With an extensive travel history I have received more vaccinations than the average individual, however my concern regarding the Covid vaccination lies in just how much of a threat is Covid to the general population? I do not trust the Media narrative or figures hence it is a person's free will choice whether they should accept this vaccine or not. Much more research needs to be done into just how dangerous Covid 19 actually is.","control","0","0"
"Against (I feel negatively about the vaccines)","Most days","Most days","42","Male","-99","Undergraduate degree (BSc, BA)","Good, interesting study. Thanks!","choice","0","0"
"Against (I feel negatively about the vaccines)","Most weeks","Most days","44","Female","-99","Undergraduate degree (BSc, BA)","Thank you for the very informative information and very helpful indeed! There were a lot of points that i didnt know about, and were explained to me in great detail, so very grateful, and will also help me make up my mind now.","control","0","0"
"Against (I feel negatively about the vaccines)","Rarely","Most months","45","Male","-99","GCSEs","None ","choice","0","0"
"Against (I feel negatively about the vaccines)","Most weeks","Most weeks","53","Male","-99","Postgraduate degree (MSc, MA, MPhil)","I would direct the writers of this study to Mateja Cernic's excellent book ""Ideological Constructs of Vaccination""","choice","0","0"
"Against (I feel negatively about the vaccines)","Most months","Most days","26","Female","-99","Undergraduate degree (BSc, BA)","The first question you ask is quite open ended. Instead it should be stated in a time frame sense as I would be open to getting a vaccine maybe in the future once more research has been done.","choice","0","0"
"Against (I feel negatively about the vaccines)","Most days","Most days","52","Female","-99","Undergraduate degree (BSc, BA)","I understand that people who refuse the vaccine are called conspiracy theorists but I am just wary of it. I have had COVID 19 and was in hospital for 48 hours. I know people who have died from it but I am still worried that the vaccine is being pushed on children and younger people when the survival rate is so high. I will not be allowing my children to have the vaccine. The issue is that the people who are promoting that people have the vaccine have all spoken about population control. ","control","0","0"
"Against (I feel negatively about the vaccines)","Rarely","Most months","36","Female","-99","Postgraduate degree (MSc, MA, MPhil)","intresting survey","control","0","0"
"Against (I feel negatively about the vaccines)","Rarely","Rarely","37","Female","-99","GCSEs,Vocational Training / Apprenticeship,A levels,Undergraduate degree (BSc, BA)","I think this was a very interesting study... but I also found the language used interesting...there was a section where it referenced ""adverse events"" as opposed to saying ""adverse effects"". There was a clear leaning in favor of vaccine. ","choice","0","0"
"Against (I feel negatively about the vaccines)","Most weeks","Most days","29","Female","-99","Undergraduate degree (BSc, BA)","This study feels like propaganda being fed to us to convince the last stragglers who don't want the vaccine. The information provided is one sided and doesn't discuss the adverse side effects and the difference between what age and gender you are. ","control","0","1"
"Against (I feel negatively about the vaccines)","Most weeks","Most weeks","27","Male","-99","A levels","Really liked the study and learning more about the vaccine and covid 19, really interesting study, enjoyed my participation","control","0","0"
"Against (I feel negatively about the vaccines)","Once or twice a year","Most months","34","Male","-99","GCSEs","The first attention question was spelt 'disaree' ","control","0","0"
"Against (I feel negatively about the vaccines)","Most weeks","Rarely","26","Female","-99","Postgraduate degree (MSc, MA, MPhil)","My mother and sister are very anti-vax, they talk to me about it against my will I just want to get on with my life. ","choice","0","0"
"Against (I feel negatively about the vaccines)","Most days","Most days","59","Female","-99","A levels","My feedback is that the ""study"" appears to be nothing more than yet another piece of propaganda, I base this on the ""information"" given in response to the ""Questions that interest you."" Nothing will persuade me as I have done other research and it's clear you are toeing the party line.","choice","0","0"
"Against (I feel negatively about the vaccines)","Once or twice a year","A few times a year","61","Female","-99","Undergraduate degree (BSc, BA)","Given that I'm incredibly nervous about having the vaccine I thought your arguments were persuasive and clearly put.  However, I am very sensitive and have not reacted well to vaccines in the past which is why I am personally nervous about having the vaccine.","control","0","0"
"Against (I feel negatively about the vaccines)","A few times a year","A few times a year","38","Male","-99","GCSEs","Freedom over fear","choice","0","0"
"Against (I feel negatively about the vaccines)","Most months","Most months","45","Female","-99","GCSEs","make the information regarding covid more understandable and people may consider receiving vaccines ","control","0","0"
"Against (I feel negatively about the vaccines)","Most weeks","Most days","64","Male","-99","No formal qualifications","Very interesting and engaging.","choice","0","0"
"Against (I feel negatively about the vaccines)","Most weeks","Most weeks","61","Male","-99","Postgraduate degree (MSc, MA, MPhil)","Showing the number of characters left in the text entry was confusing. It implied I had to provide an answer with all teh characters, not that this was the limit.","choice","0","0"
"Against (I feel negatively about the vaccines)","Rarely","Never","28","Female","-99","Undergraduate degree (BSc, BA)","there's a spelling mistake on the first attention checker question ","control","1","0"
"Against (I feel negatively about the vaccines)","Most weeks","Most days","46","Female","-99","Postgraduate degree (MSc, MA, MPhil)","Good luck with your work ","choice","0","0"
"Against (I feel negatively about the vaccines)","Never","Rarely","24","Male","-99","Undergraduate degree (BSc, BA)","All clear and comprehensive","control","0","0"
"Against (I feel negatively about the vaccines)","Rarely","Most months","35","Male","-99","GCSEs,A levels,Undergraduate degree (BSc, BA)","Very interesting, thank you. ","choice","0","0"
"Against (I feel negatively about the vaccines)","Rarely","Most days","59","Female","-99","Undergraduate degree (BSc, BA)","Interesting, thank you.","control","0","1"
"Against (I feel negatively about the vaccines)","Most weeks","Most days","34","Male","-99","A levels","I enjoyed taking part in the survey and I would be happy to participate again in the future. Currently I have not been invited to have my first vaccination but following up on reading new studies, information which I am conscious of false / fake news has made me question the programme, effectiveness and threat.","choice","0","0"
"Against (I feel negatively about the vaccines)","Most months","Most months","27","Female","-99","A levels","Found the study interesting","choice","0","0"
