"StartDate","EndDate","Duration","timing_info_consent_Page.Submit","CONSENT","prolif_check","vax_att_1","vax_att_2","vax_att_3","vax_att_4","vax_att_5","att_check_1","vax_yet","vax_futureY","vax_futureN","timing_cntrl1_Page.Submit.3","timer_cntrl2_Page.Submit.3","timer_cntrl3_Page.Submit.3","timing_control4_Page.Submit.3","Q1","timing_choice1_Page.Submit","Q2","timing_choice2_Page.Submit","Q3","timing_choice3_Page.Submit","Q4","timing_choice4_Page.Submit","post_vax_att_1","post_vax_att_2","post_vax_att_3","post_vax_att_4","post_vax_att_5","att_check_2","vax_future_2","experience_1","experience_2","experience_3","experience_4","information_1","information_2","information_3","information_4","ITT_1_A","ITT_2_A","ITT_3_A","timing_ITT_A_Page.Submit","ITT_1_F","ITT_2_F","ITT_3_F","timing_ITT_F_Page.Submit","discuss_1","read_1","age","gender","gender_4_TEXT","edu","take_part_again","anything_else","friend","condition","clicked_t","clicked_f","FL_3_DO","Block1_Cntrl_DO","Block2_Cntrl_DO","Block3_Cntrl_DO","Block4_Cntrl_DO","ID","vax_yet_1","vax_future","vax_future_1","vax_change","vax_positive","choice_cond","control_info_time","choice_info_time"
"14/05/2021 15:22","14/05/2021 15:40",1075,34.629,"YES","Against (I feel negatively about the vaccines)","Neither Agree nor Disagree","Somewhat Agree","Disagree","Disagree","Strongly Disagree","Somewhat disagree","No","","No",173.501,97.495,101.735,154.6,"",NA,"",NA,"",NA,"",NA,"Somewhat Agree","Somewhat Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat Disagree","Somewhat agree",0,"Agree","Somewhat Agree","Disagree","Disagree","Agree","Somewhat Agree","Somewhat Disagree","Neither Agree nor Disagree","I'm not having the vaccine because I don't think I need to.","And I don't trust the vaccine ","Could give you bad side affects years later",123.418,"I'm having the vaccine to help prevent me from serious effects from covid 19","And to help protect friends and family","I am happy to take the vaccine as it's been tested properly",100.53,"Rarely","Most months","48","Male","-99","A levels","Very likely","-99","Yes","control","0","0","FL_13","timing_control_1|timing_cntrl1|timing_cntrl1|timing_cntrl1|timing_cntrl1|1.1cntrl","timing_control2|timer_cntrl2|timer_cntrl2|timer_cntrl2|timer_cntrl2|3.2cntrl","timing_control3|timer_cntrl3|timer_cntrl3|timer_cntrl3|timer_cntrl3|2.3cntrl","timing_control4|timing_control4|timing_control4|timing_control4|timing_control4|3.4cntrl",1,0,"No ",-1,1,1,0,527.331,NA
"14/05/2021 15:46","14/05/2021 15:54",490,29.692,"YES","Against (I feel negatively about the vaccines)","Neither Agree nor Disagree","Agree","Strongly Disagree","Somewhat Disagree","Neither Agree nor Disagree","Somewhat disagree","No","","No",44.313,32.252,34.601,33.119,"",NA,"",NA,"",NA,"",NA,"Somewhat Disagree","Agree","Strongly Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat agree",-1,"Somewhat Agree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Neither Agree nor Disagree","Strongly Disagree","Strongly Disagree","they dont know the long term side effects","dont belive there has been enough testing","they think covid is not real",56.478,"It will stop them getting covid or reduce the severity","Helps stop the spread","Provides herd immunity for vunerable",72.643,"Most weeks","Most days","45","Female","-99","Vocational Training / Apprenticeship","Very likely","-99","Yes","control","0","0","FL_13","timing_control_1|timing_cntrl1|timing_cntrl1|timing_cntrl1|timing_cntrl1|4.1cntrl","timing_control2|timer_cntrl2|timer_cntrl2|timer_cntrl2|timer_cntrl2|2.2cntrl","timing_control3|timer_cntrl3|timer_cntrl3|timer_cntrl3|timer_cntrl3|3.3cntrl","timing_control4|timing_control4|timing_control4|timing_control4|timing_control4|4.4cntrl",2,0,"No ",-1,0,0,0,144.285,NA
"14/05/2021 15:43","14/05/2021 15:57",839,42.396,"YES","Against (I feel negatively about the vaccines)","Disagree","Somewhat Disagree","Strongly Agree","Somewhat Disagree","Somewhat Agree","Somewhat disagree","No","","Yes",NA,NA,NA,NA,"Are the vaccines safe?",78.432,"Can we trust vaccines from all countries?",88.342,"Is the pharmaceutical industry getting richer because of these vaccines?",53.257,"Have vaccines been successful in the past?",23.863,"Disagree","Somewhat Agree","Strongly Agree","Somewhat Disagree","Somewhat Agree","Somewhat agree",1,"Agree","Somewhat Agree","Somewhat Disagree","Strongly Disagree","Somewhat Agree","Strongly Agree","Disagree","Somewhat Agree","vaccines are made to profit the government","it can't guarantee immunity from covid-19 ","may cause long term side effects",89.717,"scientists have tested it","other important people have taken it","it will save you from getting covid-19",64.808,"Most months","Most months","22","Female","-99","Undergraduate degree (BSc, BA)","Very likely","-99","Yes","choice","0","0","FL_14","","","","",3,0,"Yes ",1,0,0,1,NA,243.894
"14/05/2021 15:57","14/05/2021 16:04",398,17.358,"YES","Against (I feel negatively about the vaccines)","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat disagree","No","","No",12.683,5.514,5.754,2.401,"",NA,"",NA,"",NA,"",NA,"Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat disagree",-1,"Somewhat Agree","Neither Agree nor Disagree","Disagree","Somewhat Disagree","Somewhat Agree","Disagree","Somewhat Disagree","Neither Agree nor Disagree","It has not been approved by the FDA therefore we donäó»t have certainty on how safe it is","Itäó»s still in stage 2 trials, so the trials haven't been completed so something me go wrong in later stages.","We donäó»t need a vaccine for a virus with a 99.97% survival rate.",108.143,"You need to protect others ","Itäó»s safe because the government says so","We need to get back to normal ",61.32,"Most months","Most days","46","Female","-99","Undergraduate degree (BSc, BA)","Very likely","-99","Yes","control","0","0","FL_13","timing_control_1|timing_cntrl1|timing_cntrl1|timing_cntrl1|timing_cntrl1|2.1cntrl","timing_control2|timer_cntrl2|timer_cntrl2|timer_cntrl2|timer_cntrl2|1.2cntrl","timing_control3|timer_cntrl3|timer_cntrl3|timer_cntrl3|timer_cntrl3|4.3cntrl","timing_control4|timing_control4|timing_control4|timing_control4|timing_control4|2.4cntrl",4,0,"No ",-1,0,0,0,26.352,NA
"14/05/2021 15:53","14/05/2021 16:05",684,29.495,"YES","Against (I feel negatively about the vaccines)","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat disagree","No","","No",NA,NA,NA,NA,"Do I really need a vaccine?",86.638,"Are vaccines dangerous in general?",84.604,"Are there serious side effects to the vaccine?",101.634,"Is herd immunity possible without vaccination?",71.993,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat agree",-1,"Somewhat Agree","Somewhat Disagree","Strongly Disagree","Agree","Somewhat Agree","Strongly Disagree","Disagree","Neither Agree nor Disagree","Because there is a nefarious agenda to control the population using these injections.","Because the risks outweigh the benefits.","Because there have been no long term clinical trials, therefore no knowing of what damage it could cause.",92.648,"Because they think they are doing something for the greater good.","Because they think they will be able to go on holiday.","Because they believe that things will return to normal if they take the vaccine.",63.713,"Rarely","Most weeks","33","Female","-99","A levels","Somewhat likely","-99","Yes","choice","0","0","FL_14","","","","",5,0,"No ",-1,0,0,1,NA,344.869
"14/05/2021 16:00","14/05/2021 16:07",427,51.343,"YES","Against (I feel negatively about the vaccines)","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat disagree","No","","No",NA,NA,NA,NA,"Do I really need a vaccine?",16.966,"Do we know enough about Covid-19 to develop a vaccine?",3.092,"Are there serious side effects to the vaccine?",21.037,"Wouldn't it be better to invest in treatments for Covid-19 rather than vaccines?",5.156,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat agree",-1,"Agree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","They donäó»t want to have it ","Itäó»s not safe for everyone ","Not enough research on the vaccine",78.969,"They want it to go on holiday ","So they can keep people around them safe","So they donäó»t have to wear a mask anymore",42.181,"Most days","Most weeks","28","Female","-99","GCSEs","Very likely","-99","Yes","choice","0","0","FL_14","","","","",6,0,"No ",-1,0,0,1,NA,46.251
"14/05/2021 15:56","14/05/2021 16:08",704,24.888,"YES","Against (I feel negatively about the vaccines)","Disagree","Neither Agree nor Disagree","Strongly Disagree","Disagree","Neither Agree nor Disagree","Somewhat disagree","No","","No",167.536,50.373,55.093,36.674,"",NA,"",NA,"",NA,"",NA,"Neither Agree nor Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Disagree","Neither Agree nor Disagree","Somewhat agree",-1,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat Agree","Neither Agree nor Disagree","Agree","Strongly Disagree","Somewhat Disagree","The clinical trials have not gone on for 2 years yet. The timeline for this is September 2022.","I do not know the long term effects to my body. ","I do not know the initial side effects following the injection. Each person reacts differently. ",113.956,"We can stop the Covid-19 pandemic. ","I will stop being anxious about being sociable. ","People will look at me negatively if I donäó»t have the vaccination. ",65.287,"Never","Most days","50","Female","-99","Undergraduate degree (BSc, BA)","Very likely","-99","Yes","control","0","0","FL_13","timing_control_1|timing_cntrl1|timing_cntrl1|timing_cntrl1|timing_cntrl1|3.1cntrl","timing_control2|timer_cntrl2|timer_cntrl2|timer_cntrl2|timer_cntrl2|5.2cntrl","timing_control3|timer_cntrl3|timer_cntrl3|timer_cntrl3|timer_cntrl3|5.3cntrl","timing_control4|timing_control4|timing_control4|timing_control4|timing_control4|4.4cntrl",7,0,"No ",-1,0,0,0,309.676,NA
"14/05/2021 15:57","14/05/2021 16:11",860,15.171,"YES","Against (I feel negatively about the vaccines)","Somewhat Disagree","Agree","Agree","Strongly Disagree","Disagree","Somewhat disagree","No","","Undecided",NA,NA,NA,NA,"Are the vaccines safe?",70.198,"Is Covid-19 dangerous for someone young like me?",34.893,"Are there serious side effects to the vaccine?",66.484,"Is herd immunity possible without vaccination?",41.637,"Disagree","Agree","Somewhat Agree","Strongly Disagree","Somewhat Disagree","Somewhat agree",0,"Somewhat Agree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Neither Agree nor Disagree","They are worried that the current studies have only assessed side effects for up to 2 months - what are the long term side effects of this? Doctors have already stated they do not know, as there is not enough evidence. E.g. how is fertility effected?","They are young. Many argue that the young are selfish for not vaccinating, but I disagree, it is a selfless act to be vaccinated against something which is extremely unlikely to cause you any issues. The healthy youth could have quite easily continued with normal life throughout lockdown, in order to maintain the economy. Of course there are youths that die/are hospitalised with COVID-19, but many have underlying health issues such as obesity. ","The UK has established a non-liability agreement with some of the pharmaceutical companies providing the vaccine. This would not be necessary if the company & the government were confident that no long-term complications will occur - I ask, what happens to those who lose family members to rare side effects of these vaccines? They lack compensation for something which the government persuaded them would keep their family member safe - it is unfair and questionably unethical.",337.333,"The government say we have to have it to go back to daily life. ","Underlying health complication. ","They want to go on holiday.",47.261,"Rarely","Most months","21","Female","-99","Undergraduate degree (BSc, BA)","Very likely","Interesting! :-)","Yes","choice","0","0","FL_14","","","","",8,0,"Undecided ",0,0,0,1,NA,213.212
"14/05/2021 15:55","14/05/2021 16:12",988,19.059,"YES","Against (I feel negatively about the vaccines)","Disagree","Somewhat Agree","Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat disagree","No","","No",NA,NA,NA,NA,"Have the vaccines been rushed?",50.191,"Is Covid-19 dangerous for someone young like me?",56.902,"Is the pharmaceutical industry getting richer because of these vaccines?",83.983,"Wouldn't it be better to invest in treatments for Covid-19 rather than vaccines?",56.935,"Disagree","Somewhat Agree","Disagree","Neither Agree nor Disagree","Disagree","Somewhat agree",-1,"Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Disagree","Disagree","Agree","not safe, there is not enough research and time behind to prove otherwise ","rushed, and there is not enough data to prove that is safe long term ","made for profit, the information provided to the general public is misleading ",260.042,"it will save peoples lives ","it will protect the vulnerable people","we can live our lives like we are used to ",121.147,"Rarely","Most months","40","Male","-99","Vocational Training / Apprenticeship","Very likely","no, thanks","Yes","choice","0","0","FL_14","","","","",9,0,"No ",-1,0,0,1,NA,248.011
"14/05/2021 17:26","14/05/2021 18:08",2480,309.113,"YES","Against (I feel negatively about the vaccines)","Strongly Disagree","Neither Agree nor Disagree","Strongly Disagree","Strongly Disagree","Neither Agree nor Disagree","Somewhat disagree","No","","No",428.175,311.742,346.003,413.297,"",NA,"",NA,"",NA,"",NA,"Strongly Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Disagree","Neither Agree nor Disagree","Somewhat agree",0,"Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","They don't trust the companies making them to not put profit before safety","They think that coronavirus is not serious, similar to the flu, and therefore it's not needed as our bodies have their own immune system capable of dealing with it","They think they have micro chips in them to track you all the time",128.043,"They want to be able to get back to normal and get on with their lives","They don't want to die from coronavirus","They have been told it's a good thing",79.849,"Most days","A few times a year","38","Female","-99","GCSEs","Very likely","-99","Yes","control","1","0","FL_13","timing_control_1|timing_cntrl1|timing_cntrl1|timing_cntrl1|timing_cntrl1|1.1cntrl","timing_control2|timer_cntrl2|timer_cntrl2|timer_cntrl2|timer_cntrl2|2.2cntrl","timing_control3|timer_cntrl3|timer_cntrl3|timer_cntrl3|timer_cntrl3|1.3cntrl","timing_control4|timing_control4|timing_control4|timing_control4|timing_control4|1.4cntrl",10,0,"No ",-1,1,1,0,1499.217,NA
